iso_code,location,new_cases,new_deaths,total_cases,total_deaths,hospital_beds_per_thousand,life_expectancy,human_development_index,population,cases_per_million,deaths_per_million
IND,India,1370.0,35.0,15722.0,521.0,0.53,69.66,0.645,1417173120.0,11.093916317012843,0.36763327828289605
IND,India,1893.0,38.0,17615.0,559.0,0.53,69.66,0.645,1417173120.0,12.429674082443787,0.3944472218044892
IND,India,924.0,33.0,18539.0,592.0,0.53,69.66,0.645,1417173120.0,13.081676288074107,0.41773301486271486
IND,India,1541.0,53.0,20080.0,645.0,0.53,69.66,0.645,1417173120.0,14.169052260883976,0.45513140977441063
IND,India,1290.0,36.0,21370.0,681.0,0.53,69.66,0.645,1417173120.0,15.0793150804328,0.4805340931106568
IND,India,1707.0,40.0,23077.0,721.0,0.53,69.66,0.645,1417173120.0,16.283825648626472,0.508759296817597
IND,India,1453.0,59.0,24530.0,780.0,0.53,69.66,0.645,1417173120.0,17.309106173281073,0.5503914722853338
IND,India,1753.0,45.0,26283.0,825.0,0.53,69.66,0.645,1417173120.0,18.54607572573773,0.5821448264556415
IND,India,1607.0,56.0,27890.0,881.0,0.53,69.66,0.645,1417173120.0,19.68002328466405,0.6216601116453577
IND,India,1561.0,58.0,29451.0,939.0,0.53,69.66,0.645,1417173120.0,20.78151185932739,0.6625866570204211
IND,India,1873.0,69.0,31324.0,1008.0,0.53,69.66,0.645,1417173120.0,22.103157022904867,0.7112751334148929
IND,India,1738.0,71.0,33062.0,1079.0,0.53,69.66,0.645,1417173120.0,23.329542123971418,0.7613748699947117
IND,India,1801.0,75.0,34863.0,1154.0,0.53,69.66,0.645,1417173120.0,24.600381920876398,0.8142971269452246
IND,India,2394.0,69.0,37257.0,1223.0,0.53,69.66,0.645,1417173120.0,26.289660362736768,0.8629856033396964
IND,India,2442.0,100.0,39699.0,1323.0,0.53,69.66,0.645,1417173120.0,28.01280904904547,0.9335486126070469
IND,India,2806.0,68.0,42505.0,1391.0,0.53,69.66,0.645,1417173120.0,29.992807089087325,0.9815314589088452
IND,India,3932.0,175.0,46437.0,1566.0,0.53,69.66,0.645,1417173120.0,32.767344613479544,1.1050167251267087
IND,India,2963.0,127.0,49400.0,1693.0,0.53,69.66,0.645,1417173120.0,34.858126578071136,1.1946317468962437
IND,India,3587.0,92.0,52987.0,1785.0,0.53,69.66,0.645,1417173120.0,37.389221720491,1.2595497154222062
IND,India,3364.0,104.0,56351.0,1889.0,0.53,69.66,0.645,1417173120.0,39.76296135224467,1.3329352450602507
IND,India,3344.0,96.0,59695.0,1985.0,0.53,69.66,0.645,1417173120.0,42.12258838214487,1.4006757339569071
IND,India,3113.0,116.0,62808.0,2101.0,0.53,69.66,0.645,1417173120.0,44.319214860637494,1.4825288247070336
IND,India,4353.0,111.0,67161.0,2212.0,0.53,69.66,0.645,1417173120.0,47.39082265404526,1.5608537649937928
IND,India,3607.0,82.0,70768.0,2294.0,0.53,69.66,0.645,1417173120.0,49.93603039831859,1.6187154325930202
IND,India,3524.0,121.0,74292.0,2415.0,0.53,69.66,0.645,1417173120.0,52.42267084490002,1.7040966738065142
IND,India,3763.0,136.0,78055.0,2551.0,0.53,69.66,0.645,1417173120.0,55.07795688363042,1.8000623664101107
IND,India,3942.0,98.0,81997.0,2649.0,0.53,69.66,0.645,1417173120.0,57.85955070894938,1.8692141154921142
IND,India,3787.0,104.0,85784.0,2753.0,0.53,69.66,0.645,1417173120.0,60.53177186990394,1.9425996451301588
IND,India,4864.0,118.0,90648.0,2871.0,0.53,69.66,0.645,1417173120.0,63.96395664066787,2.0258639960656324
IND,India,5050.0,154.0,95698.0,3025.0,0.53,69.66,0.645,1417173120.0,67.52738860866907,2.134531030337352
IND,India,4630.0,131.0,100328.0,3156.0,0.53,69.66,0.645,1417173120.0,70.7944559377474,2.226968572477581
IND,India,6147.0,146.0,106475.0,3302.0,0.53,69.66,0.645,1417173120.0,75.13196411741143,2.329990566007913
IND,India,5553.0,132.0,112028.0,3434.0,0.53,69.66,0.645,1417173120.0,79.0503280220274,2.4231337382408156
IND,India,6198.0,150.0,118226.0,3584.0,0.53,69.66,0.645,1417173120.0,83.42382333641778,2.5289782521418416
IND,India,6568.0,142.0,124794.0,3726.0,0.53,69.66,0.645,1417173120.0,88.05840178509736,2.629177725301479
IND,India,6629.0,142.0,131423.0,3868.0,0.53,69.66,0.645,1417173120.0,92.73602366943003,2.729377198461117
IND,India,7113.0,156.0,138536.0,4024.0,0.53,69.66,0.645,1417173120.0,97.75517051861667,2.8394554929181837
IND,India,6414.0,148.0,144950.0,4172.0,0.53,69.66,0.645,1417173120.0,102.28108193302452,2.943888746633862
IND,India,5843.0,172.0,150793.0,4344.0,0.53,69.66,0.645,1417173120.0,106.40407856451581,3.065257122573705
IND,India,7293.0,190.0,158086.0,4534.0,0.53,69.66,0.645,1417173120.0,111.55023883038369,3.199326840181671
IND,India,7300.0,177.0,165386.0,4711.0,0.53,69.66,0.645,1417173120.0,116.70133850690027,3.3242233665848815
IND,India,8105.0,269.0,173491.0,4980.0,0.53,69.66,0.645,1417173120.0,122.42047040801903,3.514037861514054
IND,India,8336.0,205.0,181827.0,5185.0,0.53,69.66,0.645,1417173120.0,128.30260286054536,3.6586920305121224
IND,India,8782.0,223.0,190609.0,5408.0,0.53,69.66,0.645,1417173120.0,134.4994463344041,3.8160475411783144
IND,India,7761.0,200.0,198370.0,5608.0,0.53,69.66,0.645,1417173120.0,139.97584148364317,3.957173559713015
IND,India,8821.0,221.0,207191.0,5829.0,0.53,69.66,0.645,1417173120.0,146.20020453111613,4.1131178101938595
IND,India,9633.0,259.0,216824.0,6088.0,0.53,69.66,0.645,1417173120.0,152.99753921384,4.295876004196297
IND,India,9889.0,275.0,226713.0,6363.0,0.53,69.66,0.645,1417173120.0,159.9755152002883,4.489924279681511
IND,India,9471.0,286.0,236184.0,6649.0,0.53,69.66,0.645,1417173120.0,166.65853780799907,4.691734486186133
IND,India,10438.0,297.0,246622.0,6946.0,0.53,69.66,0.645,1417173120.0,174.0239047153251,4.901306623710164
IND,India,10864.0,261.0,257486.0,7207.0,0.53,69.66,0.645,1417173120.0,181.68987004213008,5.085476077897949
IND,India,8442.0,266.0,265928.0,7473.0,0.53,69.66,0.645,1417173120.0,187.64679928447978,5.273173682549102
IND,India,10218.0,277.0,276146.0,7750.0,0.53,69.66,0.645,1417173120.0,194.85692757141766,5.468633218219662
